0.0,9.687079799877073e-09
1.0,1.2730944859387423e-08
2.0,1.5392106233406032e-07
3.0,2.586370418298258e-07
4.0,1.5722911729317312e-07
5.0,1.1074169360242929e-07
6.0,3.132816846933209e-07
7.0,9.088425530597399e-07
8.0,1.1455765610010294e-06
9.0,1.3675306048146863e-06
10.0,3.9703622951877967e-07
11.0,1.1341324507586202e-07
12.0,1.1046651292151655e-07
13.0,1.0305691063085919e-07
14.0,9.112203523550198e-08
15.0,1.0768754140442784e-07
16.0,1.0782098011253452e-07
17.0,1.047363566672913e-07
18.0,1.1222603496775328e-07
19.0,6.905901236801107e-08
20.0,7.17030776688835e-08
21.0,7.821537761355502e-08
22.0,6.752861136235811e-08
23.0,6.490400972503856e-07
24.0,1.236180487301664e-06
25.0,1.2448622257543722e-06
26.0,1.416674104376637e-06
27.0,1.4515245600158812e-06
28.0,1.6196431379525159e-06
29.0,2.037975667794737e-06
30.0,2.1937528142350434e-06
31.0,2.374570751921806e-06
32.0,2.8668454791030095e-06
33.0,2.4505103632610404e-06
34.0,2.3568261044234405e-06
35.0,3.3091708741498533e-06
36.0,3.029875680363471e-06
37.0,2.950301685604084e-06
38.0,3.193176341441395e-06
39.0,3.2713132184597396e-06
40.0,3.3958620737519344e-06
41.0,3.2647354427150575e-06
42.0,3.1906286645097493e-06
43.0,3.9904071037821485e-06
44.0,3.956802296879166e-06
45.0,3.4932025939893576e-06
46.0,4.097316916460526e-06
47.0,3.29133809816292e-06
48.0,3.692109516528037e-06
49.0,3.915337265414854e-06
50.0,3.8274244394212306e-06
51.0,3.6983915272338534e-06
52.0,3.718756673997893e-06
53.0,3.875310330761227e-06
54.0,3.6180503408836794e-06
55.0,3.863805675332925e-06
56.0,3.6548930832289186e-06
57.0,3.385656880028863e-06
58.0,3.3249637082705317e-06
59.0,3.2154957780268904e-06
60.0,3.053058080559044e-06
61.0,3.2490113025532614e-06
62.0,3.0990355706763524e-06
63.0,2.6451273047739046e-06
64.0,2.230063623399052e-06
65.0,2.564198712889437e-06
66.0,2.34708125198276e-06
67.0,1.4921369636948055e-06
68.0,1.9279049177877243e-06
69.0,1.702268170058748e-06
70.0,9.314918520715364e-07
71.0,1.0193678700671374e-06
72.0,7.937606113419607e-07
73.0,6.031219352894435e-07
74.0,3.7072678198029077e-07
