0.0,8.523575547037266e-09
1.0,6.289764373398726e-08
2.0,5.38555773095325e-08
3.0,1.2295009454618325e-07
4.0,1.1888604481375516e-07
5.0,1.8918314690098255e-07
6.0,1.969949010611767e-07
7.0,2.859446851932022e-07
8.0,4.355478000144311e-07
9.0,5.352208282963853e-07
10.0,5.899210947419251e-07
11.0,6.223940533192939e-07
12.0,6.461958971662983e-07
13.0,5.863831887487706e-07
14.0,6.033759215776696e-07
15.0,5.186449814042521e-07
16.0,6.050939417672449e-07
17.0,5.693400761843995e-07
18.0,7.463040343035527e-07
19.0,7.820668745414049e-07
20.0,6.801080150287841e-07
21.0,7.73043624179783e-07
22.0,7.860301127779685e-07
23.0,7.21107990910673e-07
24.0,6.571873714398376e-07
25.0,6.230190587647252e-07
26.0,7.435117403237375e-07
27.0,9.791754864599373e-07
28.0,9.852149859906257e-07
29.0,1.0493607780577618e-06
30.0,1.1432120266718357e-06
31.0,1.2536757791294458e-06
32.0,1.4466504953953757e-06
33.0,1.4957205000504312e-06
34.0,1.6123250255772282e-06
35.0,1.7569773995704383e-06
36.0,1.6687457905389375e-06
37.0,1.7829971685670068e-06
38.0,1.785728429670759e-06
39.0,1.920103125027592e-06
40.0,1.8209212054025602e-06
41.0,1.9255148008335125e-06
42.0,2.0078332887506526e-06
43.0,2.153285256893902e-06
44.0,2.178067059183468e-06
45.0,2.0428071646626566e-06
46.0,2.3501405883542538e-06
47.0,2.22587796400429e-06
48.0,2.325353351376761e-06
49.0,2.1710895251805996e-06
50.0,2.0627473607355376e-06
51.0,2.1137144100297852e-06
52.0,2.204188675074394e-06
53.0,2.141182845566277e-06
54.0,2.087952658427608e-06
55.0,2.153890052349245e-06
56.0,2.129001999249772e-06
57.0,1.8802922665956432e-06
58.0,1.8596037180669333e-06
59.0,1.8138652862747332e-06
60.0,1.6812337929997744e-06
61.0,1.6358410975855234e-06
62.0,1.522313040905039e-06
63.0,1.4798056204395676e-06
64.0,1.4641824954599667e-06
65.0,1.2780511427027791e-06
66.0,1.3123751104986733e-06
67.0,1.1187755340678992e-06
68.0,8.900104066921932e-07
69.0,9.299861356984329e-07
70.0,7.006233536821207e-07
71.0,5.819408053591578e-07
72.0,4.5497698693071026e-07
73.0,3.5548347482484657e-07
74.0,1.5504799840979845e-07
