0.0,3.468077893008579e-08
1.0,7.359657522917575e-08
2.0,1.2269067879158047e-07
3.0,1.493701856031328e-07
4.0,2.211338924467948e-07
5.0,1.1827751319877218e-07
6.0,3.9614794664465547e-07
7.0,5.702234518202154e-07
8.0,1.2661558227426775e-06
9.0,1.5265136083701682e-06
10.0,5.885708705219139e-07
11.0,9.557278064128073e-08
12.0,1.1165467041528659e-07
13.0,9.814112495871127e-08
14.0,1.2091519810061706e-07
15.0,1.366698774609826e-07
16.0,1.3422336883357596e-07
17.0,1.1615057090635186e-07
18.0,1.3426210440624293e-07
19.0,8.039565919215839e-08
20.0,7.49669666796823e-08
21.0,6.772093954448417e-08
22.0,6.92912819438193e-08
23.0,5.970631795572363e-07
24.0,1.0922623215359367e-06
25.0,1.4829922102138014e-06
26.0,1.5375052594525117e-06
27.0,1.5264989906339013e-06
28.0,1.6939458184287888e-06
29.0,1.963324984274511e-06
30.0,2.059038164298826e-06
31.0,2.1040174098744442e-06
32.0,2.375605899629331e-06
33.0,2.427045935007171e-06
34.0,2.8232303896183213e-06
35.0,2.8302290177097807e-06
36.0,2.72639329995627e-06
37.0,3.1113354791149502e-06
38.0,3.301937074020211e-06
39.0,3.194343096864141e-06
40.0,3.4497924804722317e-06
41.0,3.3729049323862716e-06
42.0,3.4789552512731898e-06
43.0,3.838267928423132e-06
44.0,3.3603511469574196e-06
45.0,3.871121174713437e-06
46.0,3.5488853676346623e-06
47.0,3.948176706099793e-06
48.0,4.135029483388978e-06
49.0,4.098204209712853e-06
50.0,3.806497756547031e-06
51.0,3.6197810154080165e-06
52.0,3.878695456156852e-06
53.0,3.4327695501868185e-06
54.0,3.303830111575074e-06
55.0,3.2061039206775174e-06
56.0,3.025280180483857e-06
57.0,3.545972414275238e-06
58.0,3.298215425491171e-06
59.0,3.0653430283322507e-06
60.0,2.744365612290429e-06
61.0,3.1146083117632686e-06
62.0,2.45950996193125e-06
63.0,2.3411210496968057e-06
64.0,2.3047471893204513e-06
65.0,2.128377408851473e-06
66.0,2.0684656762994064e-06
67.0,1.908300822146944e-06
68.0,1.610772966007812e-06
69.0,1.5550618051996452e-06
70.0,1.1665107009537536e-06
71.0,1.1296834941191805e-06
72.0,7.580338193303318e-07
73.0,6.9325297303642e-07
74.0,2.964492266485407e-07
