T(K),dens(kg/m^3)
293,3360
300,3329.940537
500,2517.545454
750,1724.455383
1000,1193.535077
1250,847.025593
1500,620.5342294
1750,467.3770148
2000,358.1867679
2200,291.0810682
2300,262.2356337
