T(K),cp(J/kg-K)
300,488.2
400,660.4
500,788.8
600,869.3
700,938
800,991.6
900,1023.5
1000,1050.7
1200,1100.3
1400,1144.6
1600,1174.9
1800,1206
2000,1233.7
2200,1262.3
2400,1286.7
2600,1307.1
2800,1328.1
