id,mean,std. dev.
Fuel Thermal Absorption,0.004419699523757923,0.0006533479838521565
Fuel Thermal Fission,0.0037532912241664295,0.0005526319412175471
Fuel Fast Absorption,0.9865363376318392,0.0076731258514099124
Fuel Fast Fission,0.6567051135992062,0.004733910068889719
Coolant Thermal Absorption,1.3184370505949042e-06,1.9766933112474572e-07
Coolant Fast Absorption,5.443381548324721e-05,7.576320375993003e-07
Cladding Thermal Absorption,3.5225981768187604e-06,5.055067812996658e-07
Cladding Fast Absorption,0.013737842661898212,0.0001842025356413119
