T(K),cp(J/kg-K)
293,1549.861965
300,1598.295152
400,1695.161525
500,1743.594711
600,1792.027898
700,1888.89427
800,1917.954182
1000,1966.387369
1200,2034.19383
1400,2053.567104
1600,2082.627016
1800,2131.060202
2000,2169.806752
2200,2227.926878
2400,2276.359762
2600,2324.792948
