T(K),dens(kg/m^3)
293,6590
300,6531.044089
500,4937.685876
750,3382.190766
1000,2340.891714
1250,1661.279362
1500,1217.059694
1750,916.6709904
2000,702.5151192
2200,570.9000712
2300,514.3252459
